playlist_title,playlist_ID,video_title,video_ids,video_published
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,시험기간에도 술 못 잃는 사람 / 집에서 해먹은 술 모음 #4,4Pqm1KgYtXU,2020-06-29T11:37:23Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,바나나 리큐르로 만든 맛있는 칵테일.......은 없었다고 한다 / 바나나 리큐르 활용하기,u4BMxqw-AIk,2020-06-21T15:31:19Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,카시스 + 우롱차 + 볶음요리 = 짱맛탱 / 이달의 술추천 #3,1T-iDBsKohY,2020-06-18T06:29:29Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,더워지니까 술이 더 마시고 싶어요 / 집에서 해먹은 술 모음 #3,CCKd85lojPo,2020-06-12T14:49:32Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,바다 가고 싶다..🐳/ 바다 느낌 칵테일,QLsUN-1gDC8,2020-06-09T16:10:20Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🍉보기만 해도 여름 느낌나는 트로피컬 칵테일🍍,olduOPRWUQM,2020-06-06T14:12:07Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🌸리치 리큐르 콰이페로 칵테일 만들기🌸,gzv8fo55HNk,2020-06-03T13:44:44Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,만들어 먹은 안주모음! / 안주 만드는 영상 #2,3eGUAtOvdOc,2020-05-22T11:47:49Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,혹시 지금 술 마시고 있는 사람..? 그건 바로 ㄴr... / 집에서 해먹은 술 모음 #2,uC1JI2yJyQI,2020-05-20T13:37:12Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,집에 있는 꿀.유자.밤으로 맛있는 칵테일 만들기😎,xH7yOILktZk,2020-05-15T14:56:01Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,최애 맥주&안주 추천!!!!! / 이달의 술추천 #2,eiyEbeZgqmE,2020-05-13T13:57:53Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,소주로 칵테일 만들기,pKe8EflrJwI,2020-05-08T14:31:13Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,방콕하며 연명하기 위한 반찬 만들기,WQjnhpVMe54,2020-05-05T12:20:41Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,데킬라 맛있게 먹는법! / 데킬라로 다섯 가지 칵테일 만들기🍸,RUm6MDFu470,2020-05-02T12:41:34Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,얼음 깎는 노인,duNq0mNNwAc,2020-04-28T09:22:53Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,나는 오늘도 술을 ㅁㅏ신ㄷr...⭐️/ 집에서 해먹은 술 모음 #1,BiLHoo2sgSE,2020-04-25T14:51:22Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,침샘 자극하는 오늘의 향💖달큰한 시나몬 향 츄러스 칵테일(Churros) / 리니비니 X 데메테르 #2,lAk5yD1MUqE,2020-04-23T09:02:47Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,술마신 다음날 술로 해장한다!!! 해장 칵테일 만들기,ixsAYP7B3xM,2020-04-21T14:10:26Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,자주 해먹는 안주 모음! / 안주 만드는 영상#1,nLdDkg0NDxY,2020-04-17T13:50:10Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,라거? 에일? 내 최애 맥주는? / 와인앤모어 맥주 리뷰 #1,NvTN0xkWlEc,2021-02-12T12:39:37Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,화요로 만드는 네가지 간단칵테일!,5Ms57bZPqcM,2021-02-09T11:00:42Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,술...그리고 안주..⭐️ / 집에서 해먹은 술 모음 #8,1KpesGaUzaM,2021-02-07T09:20:28Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,새로운 싱글톤으로 두 가지 칵테일 만들기! / 색다른 안주와 함께 즐기자,JGde_Ufv_qI,2021-02-05T08:35:33Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,사워 특집 / 네 가지 사워 만들기,TsQR5MX7woE,2021-01-29T11:28:19Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,Gs25 나만의 냉장고 어플 리뷰 / 어플로 술 주문하기,r2aSLzsesEU,2021-01-25T10:54:24Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,열 가지 진을 알아보자 / 진 10종 리뷰,j1qM2ogJWrs,2021-01-21T14:57:39Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,피즈 특집 / 여섯 가지 피즈 만들기!,azQ89nKo-rE,2021-01-18T14:35:14Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,새해 7일7술 / 집에서 해먹은 술 모음 #7,dNlHGKjWWZU,2021-01-14T14:16:40Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,칵테일 하나에 재료 10개... 냉장고를 털어버리자!,KenoHursSes,2020-11-12T14:10:40Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,캄파리 특집 / 캄파리로 다섯 가지 칵테일 만들기,0kkredqf4aY,2020-10-14T12:21:49Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,오랜만에 와인 마신 날!🍷 / 이달의 술추천 #7,WELbqdkqFxY,2020-10-09T13:34:19Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,다들 연휴 잘 보내셨나요? / 여름 마지막 7일7술 / 집에서 해먹은 술 모음 #6,Yo1IhbQdN90,2020-10-04T14:41:18Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,"부드러움의 끝판왕, 계란 흰자가 들어가는 칵테일 만들기",J09reqatUY4,2020-09-28T10:57:45Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,🍷칵테일과 함께 집에서 홈파티!🍷 / Shakit x RiniBini #2,PyCIpgqmeM0,2020-09-23T18:24:53Z
Uploaded Videos,UU57zDQDyO7JGXw1xMkI4ILA,슬로 진 특집(비니의 추천),h8rDZNB8pr0,2020-09-12T23:08:04Z
